ID,X,Y,YEAR,SITE,UID,NUTRIENTS,PRIM_CLASS,SEC_CLASS,PROV,Ecozone,LATN,LONGW,ECPROV,ECREGION,WETREGION,PEATDEPTH,WTDEPTH,WETTYPE,CWFIS_date,YEAR,MONTH,DAY,SampleDate,Card_Date_Notes,stackID,out_dc,dc_class,ECOPROV
217,-95290.70221,165165.2557,1983,33,1983-33,6,hoizontal,treed_conif,MB,,50.48,-96.35,BO,LBst,BMc,191,-24,conifer swamp,dc830717,83,07,17,1983-07-17,,651,287,2,Lake of the Woods
222,-107367.4237,162117.8635,1983,38,1983-38,6,basin swamp,treed_conif,MB,,50.45,-96.52,BO,LBs,BMc,250,-22,conifer swamp,dc830720,83,07,20,1983-07-20,,654,305,3,Lake of the Woods
174,-37640.12222,50156.97475,1983,7,Jul-83,6,peat margin swamp,treed_conif,MB,,49.45,-95.52,BO,LBst,BL,47,-20,conifer swamp,dc830619,83,06,19,1983-06-19,,623,180,1,Lake of the Woods
223,-92236.87999,141856.1184,1983,39,1983-39,6,stream swamp,treed_conif,MB,,50.27,-96.3,BO,LBs,BMc,68,-22,conifer swamp,dc830720,83,07,20,1983-07-20,,654,296,2,Lake of the Woods
225,-90108.62281,141813.1165,1983,40,1983-40,6,stream swamp,treed_conif,MB,,50.27,-96.27,BO,LBs,BMc,130,-34,conifer swamp,dc830721,83,07,21,1983-07-21,,655,307,3,Lake of the Woods
24,-1444800.092,735926.0117,1981,11,Nov-81,,peat margin swamp,treed_conif,AB,,53.33,-117.47,CD,SCb,BMc,290,-18,conifer swamp,dc810617,81,06,17,1981-06-17,,259,186,1,Boreal Foothills
8,-1320799.138,592984.9113,1981,3,Mar-81,1,northern plateau,centre,AB,,52.47,-115,CD,SCb,BMc,348,-19,conifer swamp,dc810604,81,06,04,1981-06-04,,246,128,1,Boreal Foothills
42,-1267479.734,798197.365,1981,22,1981-22,6,peat margin swamp,treed_conif,AB,,54.4,-115.2,CD,SCb,BHc,69,-30,conifer swamp,dc810630,81,06,30,1981-06-30,,272,209,2,Boreal Foothills
74,-1213190.574,996342.4058,1981,47,1981-47,6,basin swamp,treed_conif,AB,,56.28,-115.37,BO,MBs,BHc,198,-50,conifer swamp,dc810729,81,07,29,1981-07-29,,301,384,3,Central Boreal Plains
237,-348589.6095,210979.4895,1983,49,1983-49,6,peat margin swamp,treed_conif,MB,,50.78,-99.98,BO,MBs,BMc,157,-31,conifer swamp,dc830810,83,08,10,1983-08-10,,675,300,3,Central Boreal Plains
58,-1153468.391,783104.8977,1981,36,1981-36,6,stream swamp,treed_conif,AB,,54.58,-113.42,BO,LBs,BMc,243,-20,conifer swamp,dc810713,81,07,13,1981-07-13,,285,305,3,Central Boreal Plains
119,-281981.9273,440273.647,1982,28,1982-28,6,string fen,treed island,MB,,52.9,-99.25,BO,MBs,BMc,293,-65,conifer swamp,dc820701,82,07,01,1982-07-01,,454,258,2,Eastern Boreal Plains
253,-488640.4851,455896.11,1984,5,May-84,6,peat margin swamp,treed_conif,SK,,52.87,-102.37,BO,LBs,BMt,71,-41,conifer swamp,dc840609,84,06,09,1984-06-09,,794,79,0,Eastern Boreal Plains
